Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Status
neon-blend,Neon Blend,"<p>Our signature blend. Bright, bold, and loud enough to wake the whole block.</p><p><strong>Flavor notes:</strong> Candied orange, cocoa nib, brown sugar<br><strong>Roast:</strong> Medium (3/5)<br><strong>Origin:</strong> Colombia &amp; Ethiopia</p><p>Roasted in small batches and shipped within 48 hours of roasting.</p>",Volt Coffee,"Food, Beverages & Tobacco > Beverages > Coffee",Coffee,"coffee, blend, bestseller, card-red, roast-3",TRUE,Size,250g,Grind,Whole Bean,,,VOLT-NEONBLEN-250g-WB,250,shopify,120,deny,manual,18.00,22.00,TRUE,TRUE,,https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=1200&h=1200&fit=crop&crop=entropy&q=80,1,Neon Blend coffee bag on red background,FALSE,Neon Blend — Volt Coffee,"Our signature blend. Bright, bold, and loud enough to wake the whole block.",,g,active
neon-blend,,,,,,,,,250g,,Ground,,,VOLT-NEONBLEN-250g-GR,250,shopify,120,deny,manual,18.00,22.00,TRUE,TRUE,,,,,,,,,g,
neon-blend,,,,,,,,,1kg,,Whole Bean,,,VOLT-NEONBLEN-1kg-WB,1000,shopify,120,deny,manual,56.00,,TRUE,TRUE,,,,,,,,,g,
neon-blend,,,,,,,,,1kg,,Ground,,,VOLT-NEONBLEN-1kg-GR,1000,shopify,120,deny,manual,56.00,,TRUE,TRUE,,,,,,,,,g,
neon-blend,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1447933601403-0c6688de566e?w=1200&h=1200&fit=crop&crop=entropy&q=80,2,Fresh roasted coffee beans,,,,,,
neon-blend,,,,,,,,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=1200&h=1200&fit=crop&crop=entropy&q=80,3,Pour over brewing Neon Blend,,,,,,
volt-espresso,Volt Espresso,"<p>A high-voltage espresso built for milk or straight shots. Full charge guaranteed.</p><p><strong>Flavor notes:</strong> Dark chocolate, hazelnut, molasses<br><strong>Roast:</strong> Medium-dark (4/5)<br><strong>Origin:</strong> Brazil &amp; Sumatra</p><p>Roasted in small batches and shipped within 48 hours of roasting.</p>",Volt Coffee,"Food, Beverages & Tobacco > Beverages > Coffee",Coffee,"coffee, espresso, bestseller, card-mint, roast-4",TRUE,Size,250g,Grind,Whole Bean,,,VOLT-VOLTESPR-250g-WB,250,shopify,120,deny,manual,19.00,,TRUE,TRUE,,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=1200&h=1200&fit=crop&crop=entropy&q=80,1,Volt Espresso coffee bag,FALSE,Volt Espresso — Volt Coffee,A high-voltage espresso built for milk or straight shots. Full charge guaranteed.,,g,active
volt-espresso,,,,,,,,,250g,,Ground,,,VOLT-VOLTESPR-250g-GR,250,shopify,120,deny,manual,19.00,,TRUE,TRUE,,,,,,,,,g,
volt-espresso,,,,,,,,,1kg,,Whole Bean,,,VOLT-VOLTESPR-1kg-WB,1000,shopify,120,deny,manual,59.00,,TRUE,TRUE,,,,,,,,,g,
volt-espresso,,,,,,,,,1kg,,Ground,,,VOLT-VOLTESPR-1kg-GR,1000,shopify,120,deny,manual,59.00,,TRUE,TRUE,,,,,,,,,g,
